TERM,CRN,SUBJECT,TITLE,DAYS,TIME,BLDG,LAT,LNG,ROOM,INSTRUCTOR,MEET TYPE,DEPT,LVL,B,Dep,enroll
201520,23580,AAST,INTRO AFRICAN AMERICAN STUDIES,T,0930-1045,DIEHN,36.88705158,-76.30770139,1104,"WILDER-BONNER, KIDESTE",CLASS,AL,UG,ALFRN,AA,733
201520,23580,AAST,INTRO AFRICAN AMERICAN STUDIES,R,0930-1045,DIEHN,36.88705158,-76.30770139,1104,"WILDER-BONNER, KIDESTE",CLASS,AL,UG,ANNEX,ACCT,2259
201520,23835,AAST,INTRO AFRICAN AMERICAN STUDIES,M,1620-1900,BAL,36.88448578,-76.30352787,3066,"SUMTER, MELVINA",CLASS,AL,UG,BAB,AL,205
201520,23583,AAST,AFRICA IN TRANSITION,M,1200-1250,DIEHN,36.88705158,-76.30770139,1104,"TOUSSAINT, JEFFREY",CLASS,AL,UG,BAL,ART,3860
201520,23583,AAST,AFRICA IN TRANSITION,F,1200-1250,DIEHN,36.88705158,-76.30770139,1104,"TOUSSAINT, JEFFREY",CLASS,AL,UG,CCPO,BIOL,7150
201520,23583,AAST,AFRICA IN TRANSITION,W,1200-1250,DIEHN,36.88705158,-76.30770139,1104,"TOUSSAINT, JEFFREY",CLASS,AL,UG,CM,BU,285
201520,26963,AAST,TPC:MAKING AFRICAN-AMER CINEMA,T,1500-1615,BAL,36.88448578,-76.30352787,3070,"ROSS, MONTY",CLASS,AL,UG,CONST,CDSE,2061
201520,26963,AAST,TPC:MAKING AFRICAN-AMER CINEMA,R,1500-1615,BAL,36.88448578,-76.30352787,3070,"ROSS, MONTY",CLASS,AL,UG,CSC,CEE,1385
201520,23584,AAST,AFRICANA INTELL THGT & ECO DEV,T,1330-1445,DIEHN,36.88705158,-76.30770139,1104,"WILDER-BONNER, KIDESTE",CLASS,AL,UG,DAHL,CEH,410
201520,23584,AAST,AFRICANA INTELL THGT & ECO DEV,R,1330-1445,DIEHN,36.88705158,-76.30770139,1104,"WILDER-BONNER, KIDESTE",CLASS,AL,UG,DIEHN,CHEM,7081
201520,32125,AAST,TPC:BLACK QUEER FEMINISMS,W,1620-1900,BAL,36.88448578,-76.30352787,3066,"REED, ALISON",CLASS,AL,UG,DRGS,CHS,2107
201520,27073,AAST,TPC:HISTORY OF MODERN AFRICA,T,1500-1615,BAL,36.88448578,-76.30352787,2063,"VOS, JELMER",CLASS,AL,UG,ECSB,COMM,8725
201520,27073,AAST,TPC:HISTORY OF MODERN AFRICA,R,1500-1615,BAL,36.88448578,-76.30352787,2063,"VOS, JELMER",CLASS,AL,UG,ED,CS,4538
201520,20243,ACCT,PRIN OF FINANCIAL ACCOUNTING,M,1000-1050,"Constant Hall, 1221, 49th street, Norfolk, VA 23529",36.8870765,-76.30533873,1005,"O'SHAUGHNESSY, PAIGE",CLASS,ACCT,UG,ESB,DNTH,619
201520,20243,ACCT,PRIN OF FINANCIAL ACCOUNTING,F,1000-1050,"Constant Hall, 1221, 49th street, Norfolk, VA 23529",36.8870765,-76.30533873,1005,"O'SHAUGHNESSY, PAIGE",CLASS,ACCT,UG,GOODE,ECE,1633
201520,20243,ACCT,PRIN OF FINANCIAL ACCOUNTING,W,1000-1050,"Constant Hall, 1221, 49th street, Norfolk, VA 23529",36.8870765,-76.30533873,1005,"O'SHAUGHNESSY, PAIGE",CLASS,ACCT,UG,GORNT,ECON,3078
201520,20244,ACCT,PRIN OF FINANCIAL ACCOUNTING,M,1910-2150,"Constant Hall, 1221, 49th street, Norfolk, VA 23529",36.8870765,-76.30533873,1008,"HASSELL, MARY",CLASS,ACCT,UG,GRSM,EFL,478
201520,20245,ACCT,PRIN OF FINANCIAL ACCOUNTING,W,1910-2150,"Constant Hall, 1221, 49th street, Norfolk, VA 23529",36.8870765,-76.30533873,1008,"WILLIAMS, GAIL",CLASS,ACCT,UG,HAS,ELC,25
201520,23429,ACCT,PRIN OF FINANCIAL ACCOUNTING,M,1500-1615,"Constant Hall, 1221, 49th street, Norfolk, VA 23529",36.8870765,-76.30533873,1008,"ZIEGENFUSS, DOUGLAS",CLASS,ACCT,UG,HLTH,EN,525
